'Elapsed time','ECG I','ECG I filtered'
'0:05.212',0.035,0.03
'0:05.214',0.02,0.035
'0:05.216',0.025,0.04
'0:05.218',0.03,0.045
'0:05.220',0.03,0.05
'0:05.222',0.05,0.055
'0:05.224',0.06,0.06
'0:05.226',0.08,0.065
'0:05.228',0.085,0.07
'0:05.230',0.11,0.075
'0:05.232',0.1,0.08
'0:05.234',0.08,0.085
'0:05.236',0.075,0.09
'0:05.238',0.07,0.095
'0:05.240',0.08,0.1
'0:05.242',0.095,0.105
'0:05.244',0.115,0.115
'0:05.246',0.125,0.12
'0:05.248',0.15,0.13
'0:05.250',0.16,0.135
'0:05.252',0.16,0.145
'0:05.254',0.16,0.15
'0:05.256',0.145,0.16
'0:05.258',0.145,0.165
'0:05.260',0.135,0.17
'0:05.262',0.16,0.175
'0:05.264',0.175,0.175
'0:05.266',0.185,0.18
'0:05.268',0.19,0.185
'0:05.270',0.195,0.185
'0:05.272',0.19,0.185
'0:05.274',0.185,0.185
'0:05.276',0.175,0.185
'0:05.278',0.17,0.185
'0:05.280',0.165,0.185
'0:05.282',0.18,0.185
'0:05.284',0.175,0.185
'0:05.286',0.175,0.185
'0:05.288',0.17,0.185
'0:05.290',0.175,0.18
'0:05.292',0.155,0.18
'0:05.294',0.145,0.18
'0:05.296',0.13,0.175
'0:05.298',0.115,0.17
'0:05.300',0.105,0.165
'0:05.302',0.11,0.155
'0:05.304',0.115,0.145
'0:05.306',0.11,0.135
'0:05.308',0.11,0.125
'0:05.310',0.105,0.115
'0:05.312',0.08,0.105
'0:05.314',0.065,0.1
'0:05.316',0.045,0.09
'0:05.318',0.015,0.08
'0:05.320',0.01,0.07
'0:05.322',0.015,0.06
'0:05.324',0.015,0.05
'0:05.326',0.015,0.035
'0:05.328',0,0.025
'0:05.330',0.015,0.015
'0:05.332',0.015,0.005
'0:05.334',-0.02,0
'0:05.336',-0.035,-0.005
'0:05.338',-0.045,-0.005
'0:05.340',-0.04,-0.005
'0:05.342',-0.04,-0.005
'0:05.344',-0.035,-0.005
'0:05.346',-0.04,-0.005
'0:05.348',-0.025,-0.01
'0:05.350',-0.02,-0.015
'0:05.352',-0.045,-0.015
'0:05.354',-0.05,-0.02
'0:05.356',-0.065,-0.025
'0:05.358',-0.07,-0.03
'0:05.360',-0.065,-0.035
'0:05.362',-0.045,-0.035
'0:05.364',-0.045,-0.035
'0:05.366',-0.055,-0.035
'0:05.368',-0.045,-0.03
'0:05.370',-0.045,-0.03
'0:05.372',-0.055,-0.025
'0:05.374',-0.07,-0.025
'0:05.376',-0.08,-0.025
'0:05.378',-0.085,-0.025
'0:05.380',-0.085,-0.03
'0:05.382',-0.085,-0.035
'0:05.384',-0.06,-0.04
'0:05.386',-0.065,-0.045
'0:05.388',-0.045,-0.05
'0:05.390',-0.05,-0.055
'0:05.392',-0.06,-0.06
'0:05.394',-0.075,-0.065
'0:05.396',-0.09,-0.065
'0:05.398',-0.085,-0.06
'0:05.400',-0.07,-0.06
'0:05.402',-0.065,-0.055
'0:05.404',-0.06,-0.05
'0:05.406',-0.04,-0.05
'0:05.408',-0.045,-0.045
'0:05.410',-0.05,-0.04
'0:05.412',-0.055,-0.04
'0:05.414',-0.06,-0.035
'0:05.416',-0.07,-0.035
'0:05.418',-0.08,-0.03
'0:05.420',-0.075,-0.03
'0:05.422',-0.06,-0.03
'0:05.424',-0.065,-0.03
'0:05.426',-0.05,-0.03
'0:05.428',-0.03,-0.035
'0:05.430',-0.04,-0.035
'0:05.432',-0.055,-0.04
'0:05.434',-0.055,-0.04
'0:05.436',-0.055,-0.04
'0:05.438',-0.06,-0.04
'0:05.440',-0.06,-0.035
'0:05.442',-0.045,-0.035
'0:05.444',-0.025,-0.03
'0:05.446',-0.02,-0.025
'0:05.448',-0.01,-0.02
'0:05.450',-0.025,-0.015
'0:05.452',-0.055,-0.015
'0:05.454',-0.06,-0.015
'0:05.456',-0.065,-0.01
'0:05.458',-0.065,-0.01
'0:05.460',-0.055,-0.01
'0:05.462',-0.045,-0.01
'0:05.464',-0.035,-0.01
'0:05.466',-0.025,-0.01
'0:05.468',-0.025,-0.01
'0:05.470',-0.035,-0.01
'0:05.472',-0.05,-0.01
'0:05.474',-0.045,-0.015
'0:05.476',-0.05,-0.02
'0:05.478',-0.055,-0.02
'0:05.480',-0.05,-0.025
'0:05.482',-0.04,-0.025
'0:05.484',-0.025,-0.03
'0:05.486',-0.02,-0.03
'0:05.488',-0.015,-0.025
'0:05.490',-0.02,-0.025
'0:05.492',-0.035,-0.025
'0:05.494',-0.035,-0.025
'0:05.496',-0.045,-0.025
'0:05.498',-0.055,-0.025
'0:05.500',-0.045,-0.025
'0:05.502',-0.035,-0.03
'0:05.504',-0.035,-0.03
'0:05.506',-0.03,-0.035
'0:05.508',-0.025,-0.035
'0:05.510',-0.03,-0.035
'0:05.512',-0.045,-0.035
'0:05.514',-0.04,-0.035
'0:05.516',-0.05,-0.03
'0:05.518',-0.055,-0.025
'0:05.520',-0.06,-0.02
'0:05.522',-0.04,-0.02
'0:05.524',-0.03,-0.015
'0:05.526',-0.03,-0.015
'0:05.528',-0.03,-0.015
'0:05.530',-0.05,-0.015
'0:05.532',-0.055,-0.015
'0:05.534',-0.06,-0.015
'0:05.536',-0.06,-0.02
'0:05.538',-0.07,-0.02
'0:05.540',-0.06,-0.025
'0:05.542',-0.05,-0.025
'0:05.544',-0.045,-0.03
'0:05.546',-0.04,-0.03
'0:05.548',-0.03,-0.03
'0:05.550',-0.04,-0.035
'0:05.552',-0.06,-0.035
'0:05.554',-0.06,-0.04
'0:05.556',-0.065,-0.04
'0:05.558',-0.07,-0.04
'0:05.560',-0.065,-0.04
'0:05.562',-0.055,-0.04
'0:05.564',-0.045,-0.04
'0:05.566',-0.045,-0.04
'0:05.568',-0.045,-0.035
'0:05.570',-0.055,-0.035
'0:05.572',-0.05,-0.03
'0:05.574',-0.055,-0.03
'0:05.576',-0.07,-0.03
'0:05.578',-0.07,-0.03
'0:05.580',-0.065,-0.03
'0:05.582',-0.06,-0.035
'0:05.584',-0.045,-0.04
'0:05.586',-0.04,-0.04
'0:05.588',-0.05,-0.045
'0:05.590',-0.055,-0.045
'0:05.592',-0.05,-0.045
'0:05.594',-0.06,-0.04
'0:05.596',-0.07,-0.04
'0:05.598',-0.07,-0.035
'0:05.600',-0.06,-0.035
'0:05.602',-0.055,-0.035
'0:05.604',-0.055,-0.04
'0:05.606',-0.045,-0.045
'0:05.608',-0.055,-0.055
'0:05.610',-0.065,-0.06
'0:05.612',-0.07,-0.065
'0:05.614',-0.065,-0.065
'0:05.616',-0.075,-0.065
'0:05.618',-0.085,-0.065
'0:05.620',-0.07,-0.06
'0:05.622',-0.06,-0.055
'0:05.624',-0.05,-0.05
'0:05.626',-0.05,-0.045
'0:05.628',-0.045,-0.045
'0:05.630',-0.055,-0.045
'0:05.632',-0.065,-0.045
'0:05.634',-0.055,-0.045
'0:05.636',-0.065,-0.045
'0:05.638',-0.07,-0.05
'0:05.640',-0.055,-0.05
'0:05.642',-0.055,-0.05
'0:05.644',-0.06,-0.05
'0:05.646',-0.04,-0.05
'0:05.648',-0.03,-0.05
'0:05.650',-0.05,-0.05
'0:05.652',-0.065,-0.05
'0:05.654',-0.085,-0.05
'0:05.656',-0.065,-0.05
'0:05.658',-0.07,-0.05
'0:05.660',-0.06,-0.055
'0:05.662',-0.04,-0.055
'0:05.664',-0.045,-0.055
'0:05.666',-0.045,-0.055
'0:05.668',-0.04,-0.055
'0:05.670',-0.055,-0.055
'0:05.672',-0.065,-0.055
'0:05.674',-0.08,-0.055
'0:05.676',-0.09,-0.055
'0:05.678',-0.08,-0.05
'0:05.680',-0.065,-0.05
'0:05.682',-0.05,-0.045
'0:05.684',-0.05,-0.045
'0:05.686',-0.05,-0.045
'0:05.688',-0.055,-0.045
'0:05.690',-0.07,-0.05
'0:05.692',-0.06,-0.05
'0:05.694',-0.065,-0.055
'0:05.696',-0.065,-0.055
'0:05.698',-0.08,-0.06
'0:05.700',-0.065,-0.06
'0:05.702',-0.055,-0.06
'0:05.704',-0.045,-0.06
'0:05.706',-0.045,-0.06
'0:05.708',-0.045,-0.065
'0:05.710',-0.055,-0.065
'0:05.712',-0.065,-0.065
'0:05.714',-0.065,-0.07
'0:05.716',-0.075,-0.07
'0:05.718',-0.075,-0.07
'0:05.720',-0.065,-0.075
'0:05.722',-0.04,-0.07
'0:05.724',-0.04,-0.07
'0:05.726',-0.035,-0.065
'0:05.728',-0.04,-0.06
'0:05.730',-0.045,-0.06
'0:05.732',-0.06,-0.055
'0:05.734',-0.055,-0.055
'0:05.736',-0.075,-0.06
'0:05.738',-0.07,-0.06
'0:05.740',-0.055,-0.065
'0:05.742',-0.035,-0.075
'0:05.744',-0.045,-0.08
'0:05.746',-0.045,-0.085
'0:05.748',-0.055,-0.09
'0:05.750',-0.065,-0.09
'0:05.752',-0.07,-0.085
'0:05.754',-0.075,-0.08
'0:05.756',-0.09,-0.075
'0:05.758',-0.07,-0.07
'0:05.760',-0.055,-0.065
'0:05.762',-0.05,-0.06
'0:05.764',-0.04,-0.06
'0:05.766',-0.04,-0.065
'0:05.768',-0.04,-0.065
'0:05.770',-0.065,-0.07
'0:05.772',-0.06,-0.07
'0:05.774',-0.085,-0.07
'0:05.776',-0.075,-0.07
'0:05.778',-0.075,-0.07
'0:05.780',-0.05,-0.065
'0:05.782',-0.03,-0.06
'0:05.784',-0.01,-0.055
'0:05.786',0,-0.055
'0:05.788',-0.015,-0.055
'0:05.790',-0.025,-0.055
'0:05.792',-0.04,-0.055
'0:05.794',-0.05,-0.05
'0:05.796',-0.045,-0.05
'0:05.798',-0.035,-0.05
'0:05.800',-0.02,-0.045
'0:05.802',-0.01,-0.04
'0:05.804',0,-0.035
'0:05.806',0.02,-0.03
'0:05.808',-0.01,-0.025
'0:05.810',-0.02,-0.02
'0:05.812',-0.01,-0.02
'0:05.814',-0.01,-0.02
'0:05.816',-0.015,-0.02
'0:05.818',0,-0.02
'0:05.820',0.025,-0.02
'0:05.822',0.03,-0.015
'0:05.824',0.04,-0.005
'0:05.826',0.04,0
'0:05.828',0.05,0.015
'0:05.830',0.055,0.025
'0:05.832',0.07,0.035
'0:05.834',0.07,0.045
'0:05.836',0.075,0.055
'0:05.838',0.085,0.065
'0:05.840',0.105,0.07
'0:05.842',0.12,0.075
'0:05.844',0.13,0.08
'0:05.846',0.135,0.085
'0:05.848',0.115,0.09
'0:05.850',0.11,0.09
'0:05.852',0.1,0.095
'0:05.854',0.085,0.1
'0:05.856',0.08,0.1
'0:05.858',0.1,0.1
'0:05.860',0.1,0.1
'0:05.862',0.11,0.095
'0:05.864',0.105,0.09
'0:05.866',0.115,0.085
'0:05.868',0.105,0.08
'0:05.870',0.105,0.075
'0:05.872',0.09,0.075
'0:05.874',0.095,0.075
'0:05.876',0.08,0.075
'0:05.878',0.085,0.08
'0:05.880',0.105,0.085
'0:05.882',0.105,0.085
'0:05.884',0.12,0.09
'0:05.886',0.12,0.09
'0:05.888',0.11,0.09
'0:05.890',0.09,0.09
'0:05.892',0.09,0.09
'0:05.894',0.08,0.09
'0:05.896',0.065,0.085
'0:05.898',0.075,0.085
'0:05.900',0.09,0.085
'0:05.902',0.095,0.085
'0:05.904',0.095,0.08
'0:05.906',0.12,0.08
'0:05.908',0.1,0.08
'0:05.910',0.09,0.075
'0:05.912',0.1,0.075
'0:05.914',0.085,0.07
'0:05.916',0.07,0.07
'0:05.918',0.07,0.07
'0:05.920',0.085,0.07
'0:05.922',0.1,0.07
'0:05.924',0.1,0.07
'0:05.926',0.09,0.07
'0:05.928',0.1,0.07
'0:05.930',0.085,0.07
'0:05.932',0.085,0.07
'0:05.934',0.07,0.065
'0:05.936',0.07,0.065
'0:05.938',0.075,0.06
'0:05.940',0.075,0.055
'0:05.942',0.07,0.055
'0:05.944',0.085,0.05
'0:05.946',0.07,0.045
'0:05.948',0.07,0.04
'0:05.950',0.055,0.035
'0:05.952',0.045,0.03
'0:05.954',0.03,0.03
'0:05.956',0.03,0.03
'0:05.958',0.05,0.04
'0:05.960',0.08,0.06
'0:05.962',0.14,0.085
'0:05.964',0.215,0.13
'0:05.966',0.26,0.18
'0:05.968',0.305,0.25
'0:05.970',0.365,0.325
'0:05.972',0.415,0.415
'0:05.974',0.495,0.505
'0:05.976',0.595,0.595
'0:05.978',0.73,0.675
'0:05.980',0.85,0.74
'0:05.982',0.865,0.78
'0:05.984',0.86,0.795
'0:05.986',0.81,0.775
'0:05.988',0.73,0.725
'0:05.990',0.635,0.645
'0:05.992',0.545,0.545
'0:05.994',0.425,0.43
'0:05.996',0.315,0.31
'0:05.998',0.205,0.195
'0:06.000',0.09,0.1
'0:06.002',0.01,0.03
'0:06.004',0.01,-0.015
'0:06.006',0.04,-0.035
'0:06.008',0.03,-0.03
'0:06.010',0.04,-0.015
'0:06.012',0.05,0.01
'0:06.014',0.07,0.035
'0:06.016',0.09,0.06
'0:06.018',0.115,0.075
'0:06.020',0.12,0.085
'0:06.022',0.13,0.085
'0:06.024',0.13,0.085
'0:06.026',0.12,0.085
'0:06.028',0.11,0.08
'0:06.030',0.105,0.08
'0:06.032',0.095,0.085
'0:06.034',0.085,0.085
'0:06.036',0.09,0.085
'0:06.038',0.1,0.09
'0:06.040',0.105,0.085
'0:06.042',0.11,0.085
'0:06.044',0.125,0.08
'0:06.046',0.125,0.075
'0:06.048',0.11,0.075
'0:06.050',0.105,0.07
'0:06.052',0.105,0.065
'0:06.054',0.085,0.065
'0:06.056',0.09,0.065
'0:06.058',0.105,0.065
'0:06.060',0.105,0.06
'0:06.062',0.11,0.06
'0:06.064',0.115,0.06
'0:06.066',0.12,0.06
'0:06.068',0.105,0.06
'0:06.070',0.095,0.06
'0:06.072',0.095,0.065
'0:06.074',0.085,0.065
'0:06.076',0.095,0.07
'0:06.078',0.11,0.07
'0:06.080',0.12,0.075
'0:06.082',0.125,0.075
'0:06.084',0.135,0.075
'0:06.086',0.145,0.075
'0:06.088',0.13,0.075
'0:06.090',0.11,0.075
'0:06.092',0.105,0.075
'0:06.094',0.11,0.075
'0:06.096',0.115,0.075
'0:06.098',0.13,0.08
'0:06.100',0.125,0.085
'0:06.102',0.145,0.09
'0:06.104',0.16,0.095
'0:06.106',0.15,0.1
'0:06.108',0.135,0.105
'0:06.110',0.12,0.105
'0:06.112',0.12,0.105
'0:06.114',0.12,0.105
'0:06.116',0.12,0.105
'0:06.118',0.135,0.105
'0:06.120',0.145,0.105
'0:06.122',0.165,0.105
'0:06.124',0.175,0.105
'0:06.126',0.165,0.11
'0:06.128',0.16,0.11
'0:06.130',0.165,0.115
'0:06.132',0.165,0.12
'0:06.134',0.15,0.12
'0:06.136',0.145,0.12
'0:06.138',0.155,0.12
'0:06.140',0.155,0.12
'0:06.142',0.155,0.12
'0:06.144',0.16,0.12
'0:06.146',0.145,0.12
'0:06.148',0.165,0.12
'0:06.150',0.175,0.12
'0:06.152',0.165,0.125
'0:06.154',0.155,0.13
'0:06.156',0.175,0.14
'0:06.158',0.19,0.145
'0:06.160',0.2,0.15
'0:06.162',0.225,0.16
'0:06.164',0.22,0.165
'0:06.166',0.23,0.17
'0:06.168',0.23,0.175
'0:06.170',0.24,0.185
'0:06.172',0.23,0.19
'0:06.174',0.225,0.2
'0:06.176',0.245,0.205
'0:06.178',0.255,0.215
'0:06.180',0.26,0.22
'0:06.182',0.29,0.23
'0:06.184',0.285,0.235
'0:06.186',0.27,0.24
'0:06.188',0.265,0.245
'0:06.190',0.295,0.25
'0:06.192',0.315,0.255
'0:06.194',0.3,0.255
'0:06.196',0.3,0.26
'0:06.198',0.3,0.26
'0:06.200',0.31,0.265
'0:06.202',0.325,0.27
'0:06.204',0.32,0.27
'0:06.206',0.325,0.275
'0:06.208',0.315,0.275
'0:06.210',0.315,0.28
'0:06.212',0.305,0.28
'0:06.214',0.3,0.285
'0:06.216',0.305,0.285
'0:06.218',0.315,0.285
'0:06.220',0.31,0.285
'0:06.222',0.31,0.28
'0:06.224',0.305,0.275
'0:06.226',0.295,0.27
'0:06.228',0.285,0.26
'0:06.230',0.27,0.245
'0:06.232',0.24,0.235
'0:06.234',0.225,0.22
'0:06.236',0.22,0.21
'0:06.238',0.22,0.195
'0:06.240',0.22,0.185
'0:06.242',0.21,0.175
'0:06.244',0.195,0.165
'0:06.246',0.165,0.15
'0:06.248',0.15,0.14
'0:06.250',0.14,0.125
'0:06.252',0.135,0.11
'0:06.254',0.1,0.095
'0:06.256',0.1,0.085
'0:06.258',0.095,0.07
'0:06.260',0.12,0.065
'0:06.262',0.105,0.055
'0:06.264',0.1,0.05
'0:06.266',0.08,0.045
'0:06.268',0.05,0.04
'0:06.270',0.035,0.035
'0:06.272',0.025,0.025
'0:06.274',0.015,0.015
'0:06.276',0.005,0.005
'0:06.278',0.02,-0.01
'0:06.280',0.02,-0.02
'0:06.282',0.02,-0.03
'0:06.284',0.03,-0.035
'0:06.286',0.015,-0.04
'0:06.288',-0.01,-0.045
'0:06.290',-0.035,-0.045
'0:06.292',-0.03,-0.045
'0:06.294',-0.02,-0.04
'0:06.296',-0.015,-0.045
'0:06.298',-0.01,-0.045
'0:06.300',0,-0.045
'0:06.302',0.005,-0.05
'0:06.304',0.005,-0.055
'0:06.306',-0.02,-0.06
'0:06.308',-0.03,-0.06
'0:06.310',-0.045,-0.06
'0:06.312',-0.04,-0.06
'0:06.314',-0.035,-0.06
'0:06.316',-0.03,-0.06
'0:06.318',-0.03,-0.06
'0:06.320',-0.015,-0.06
'0:06.322',-0.015,-0.065
'0:06.324',-0.01,-0.07
'0:06.326',-0.035,-0.07
'0:06.328',-0.045,-0.075
'0:06.330',-0.045,-0.08
'0:06.332',-0.055,-0.08
'0:06.334',-0.055,-0.08
'0:06.336',-0.03,-0.08
'0:06.338',-0.025,-0.08
'0:06.340',-0.025,-0.075
'0:06.342',-0.03,-0.075
'0:06.344',-0.04,-0.07
'0:06.346',-0.055,-0.07
'0:06.348',-0.065,-0.07
'0:06.350',-0.07,-0.07
'0:06.352',-0.075,-0.075
'0:06.354',-0.07,-0.075
'0:06.356',-0.055,-0.075
'0:06.358',-0.035,-0.075
'0:06.360',-0.03,-0.075
'0:06.362',-0.025,-0.075
'0:06.364',-0.04,-0.075
'0:06.366',-0.055,-0.075
'0:06.368',-0.07,-0.08
'0:06.370',-0.09,-0.085
'0:06.372',-0.085,-0.085
'0:06.374',-0.065,-0.09
'0:06.376',-0.06,-0.095
'0:06.378',-0.045,-0.095
'0:06.380',-0.045,-0.1
'0:06.382',-0.03,-0.095
'0:06.384',-0.04,-0.095
'0:06.386',-0.055,-0.09
'0:06.388',-0.06,-0.09
'0:06.390',-0.06,-0.085
'0:06.392',-0.07,-0.085
'0:06.394',-0.055,-0.085
'0:06.396',-0.05,-0.085
'0:06.398',-0.035,-0.085
'0:06.400',-0.03,-0.08
'0:06.402',-0.025,-0.08
'0:06.404',-0.03,-0.08
'0:06.406',-0.045,-0.075
'0:06.408',-0.05,-0.075
'0:06.410',-0.06,-0.075
'0:06.412',-0.065,-0.07
'0:06.414',-0.055,-0.07
'0:06.416',-0.045,-0.075
'0:06.418',-0.035,-0.075
'0:06.420',-0.035,-0.08
'0:06.422',-0.03,-0.085
'0:06.424',-0.05,-0.09
'0:06.426',-0.05,-0.09
'0:06.428',-0.045,-0.095
'0:06.430',-0.05,-0.095
'0:06.432',-0.055,-0.095
'0:06.434',-0.04,-0.095
'0:06.436',-0.03,-0.09
'0:06.438',-0.045,-0.09
'0:06.440',-0.04,-0.085
'0:06.442',-0.055,-0.085
'0:06.444',-0.075,-0.085
'0:06.446',-0.095,-0.085
'0:06.448',-0.1,-0.09
'0:06.450',-0.095,-0.095
'0:06.452',-0.09,-0.1
'0:06.454',-0.08,-0.105
'0:06.456',-0.08,-0.11
'0:06.458',-0.05,-0.11
'0:06.460',-0.045,-0.115
'0:06.462',-0.05,-0.115
'0:06.464',-0.05,-0.115
'0:06.466',-0.07,-0.11
'0:06.468',-0.08,-0.11
'0:06.470',-0.085,-0.105
'0:06.472',-0.095,-0.1
'0:06.474',-0.075,-0.1
'0:06.476',-0.065,-0.095
'0:06.478',-0.05,-0.095
'0:06.480',-0.045,-0.095
'0:06.482',-0.05,-0.1
'0:06.484',-0.055,-0.1
'0:06.486',-0.075,-0.1
'0:06.488',-0.08,-0.1
'0:06.490',-0.09,-0.1
'0:06.492',-0.09,-0.1
'0:06.494',-0.08,-0.1
'0:06.496',-0.08,-0.1
'0:06.498',-0.075,-0.1
'0:06.500',-0.075,-0.105
'0:06.502',-0.06,-0.105
'0:06.504',-0.075,-0.11
'0:06.506',-0.09,-0.115
'0:06.508',-0.09,-0.12
'0:06.510',-0.085,-0.125
'0:06.512',-0.095,-0.13
'0:06.514',-0.095,-0.13
'0:06.516',-0.08,-0.13
'0:06.518',-0.085,-0.135
'0:06.520',-0.09,-0.135
'0:06.522',-0.08,-0.135
'0:06.524',-0.085,-0.13
'0:06.526',-0.1,-0.13
'0:06.528',-0.13,-0.13
'0:06.530',-0.115,-0.125
'0:06.532',-0.115,-0.125
'0:06.534',-0.095,-0.12
'0:06.536',-0.09,-0.12
'0:06.538',-0.09,-0.12
'0:06.540',-0.08,-0.12
'0:06.542',-0.08,-0.125
'0:06.544',-0.085,-0.125
'0:06.546',-0.08,-0.13
'0:06.548',-0.105,-0.135
'0:06.550',-0.115,-0.145
'0:06.552',-0.115,-0.145
'0:06.554',-0.11,-0.15
'0:06.556',-0.095,-0.15
'0:06.558',-0.09,-0.15
'0:06.560',-0.08,-0.145
'0:06.562',-0.08,-0.14
'0:06.564',-0.085,-0.14
'0:06.566',-0.095,-0.135
'0:06.568',-0.1,-0.135
'0:06.570',-0.115,-0.13
'0:06.572',-0.12,-0.13
'0:06.574',-0.11,-0.13
'0:06.576',-0.115,-0.13
'0:06.578',-0.095,-0.13
'0:06.580',-0.08,-0.13
'0:06.582',-0.08,-0.13
'0:06.584',-0.085,-0.13
'0:06.586',-0.1,-0.13
'0:06.588',-0.115,-0.13
'0:06.590',-0.105,-0.13
'0:06.592',-0.115,-0.13
'0:06.594',-0.11,-0.13
'0:06.596',-0.115,-0.13
'0:06.598',-0.1,-0.13
'0:06.600',-0.1,-0.13
'0:06.602',-0.095,-0.125
'0:06.604',-0.095,-0.125
'0:06.606',-0.11,-0.12
'0:06.608',-0.11,-0.12
'0:06.610',-0.12,-0.12
'0:06.612',-0.105,-0.12
'0:06.614',-0.085,-0.125
'0:06.616',-0.09,-0.125
'0:06.618',-0.08,-0.13
'0:06.620',-0.095,-0.13
'0:06.622',-0.095,-0.13
'0:06.624',-0.1,-0.13
'0:06.626',-0.125,-0.13
'0:06.628',-0.12,-0.125
'0:06.630',-0.125,-0.12
'0:06.632',-0.1,-0.115
'0:06.634',-0.09,-0.11
'0:06.636',-0.105,-0.11
'0:06.638',-0.105,-0.105
'0:06.640',-0.085,-0.105
'0:06.642',-0.08,-0.105
'0:06.644',-0.09,-0.105
'0:06.646',-0.11,-0.105
'0:06.648',-0.1,-0.11
'0:06.650',-0.105,-0.11
'0:06.652',-0.12,-0.11
'0:06.654',-0.1,-0.115
'0:06.656',-0.095,-0.115
'0:06.658',-0.085,-0.115
'0:06.660',-0.085,-0.115
'0:06.662',-0.085,-0.115
'0:06.664',-0.095,-0.11
'0:06.666',-0.11,-0.105
'0:06.668',-0.11,-0.1
'0:06.670',-0.115,-0.095
'0:06.672',-0.11,-0.09
'0:06.674',-0.075,-0.09
'0:06.676',-0.07,-0.09
'0:06.678',-0.065,-0.09
'0:06.680',-0.055,-0.09
'0:06.682',-0.045,-0.095
'0:06.684',-0.07,-0.095
'0:06.686',-0.08,-0.095
'0:06.688',-0.08,-0.095
'0:06.690',-0.08,-0.095
'0:06.692',-0.085,-0.09
'0:06.694',-0.08,-0.085
'0:06.696',-0.07,-0.085
'0:06.698',-0.07,-0.085
'0:06.700',-0.055,-0.085
'0:06.702',-0.045,-0.085
'0:06.704',-0.055,-0.085
'0:06.706',-0.065,-0.08
'0:06.708',-0.065,-0.08
'0:06.710',-0.065,-0.075
'0:06.712',-0.045,-0.065
'0:06.714',-0.05,-0.06
'0:06.716',-0.025,-0.05
'0:06.718',-0.04,-0.04
'0:06.720',-0.01,-0.035
'0:06.722',-0.035,-0.03
'0:06.724',-0.04,-0.025
'0:06.726',-0.05,-0.025
'0:06.728',-0.055,-0.025
'0:06.730',-0.065,-0.03
'0:06.732',-0.055,-0.035
'0:06.734',-0.045,-0.04
'0:06.736',-0.045,-0.05
'0:06.738',-0.05,-0.06
'0:06.740',-0.035,-0.065
'0:06.742',-0.075,-0.075
'0:06.744',-0.095,-0.08
'0:06.746',-0.095,-0.09
'0:06.748',-0.1,-0.095
'0:06.750',-0.115,-0.1
'0:06.752',-0.125,-0.1
'0:06.754',-0.11,-0.105
'0:06.756',-0.08,-0.105
'0:06.758',-0.105,-0.11
'0:06.760',-0.11,-0.115
'0:06.762',-0.115,-0.115
'0:06.764',-0.115,-0.12
'0:06.766',-0.11,-0.125
'0:06.768',-0.11,-0.125
'0:06.770',-0.13,-0.125
'0:06.772',-0.12,-0.125
'0:06.774',-0.1,-0.12
'0:06.776',-0.12,-0.115
'0:06.778',-0.095,-0.115
'0:06.780',-0.095,-0.11
'0:06.782',-0.11,-0.105
'0:06.784',-0.11,-0.105
'0:06.786',-0.115,-0.105
'0:06.788',-0.125,-0.105
'0:06.790',-0.135,-0.11
'0:06.792',-0.135,-0.11
'0:06.794',-0.115,-0.115
'0:06.796',-0.11,-0.12
'0:06.798',-0.115,-0.12
'0:06.800',-0.105,-0.125
'0:06.802',-0.125,-0.13
'0:06.804',-0.135,-0.13
'0:06.806',-0.13,-0.135
'0:06.808',-0.13,-0.135
'0:06.810',-0.135,-0.13
'0:06.812',-0.13,-0.13
'0:06.814',-0.11,-0.125
'0:06.816',-0.105,-0.12
'0:06.818',-0.1,-0.12
'0:06.820',-0.11,-0.115
'0:06.822',-0.115,-0.115
'0:06.824',-0.135,-0.115
'0:06.826',-0.135,-0.12
'0:06.828',-0.135,-0.125
'0:06.830',-0.135,-0.13
'0:06.832',-0.155,-0.13
'0:06.834',-0.145,-0.135
'0:06.836',-0.13,-0.135
'0:06.838',-0.13,-0.135
'0:06.840',-0.14,-0.135
'0:06.842',-0.16,-0.135
'0:06.844',-0.185,-0.135
'0:06.846',-0.175,-0.13
'0:06.848',-0.165,-0.125
'0:06.850',-0.125,-0.11
'0:06.852',-0.06,-0.08
'0:06.854',-0.005,-0.04
'0:06.856',0.045,0.015
'0:06.858',0.105,0.085
'0:06.860',0.18,0.17
'0:06.862',0.245,0.255
'0:06.864',0.33,0.345
'0:06.866',0.435,0.425
'0:06.868',0.515,0.49
'0:06.870',0.555,0.53
'0:06.872',0.555,0.55
'0:06.874',0.525,0.54
'0:06.876',0.48,0.5
'0:06.878',0.415,0.44
'0:06.880',0.36,0.355
'0:06.882',0.255,0.26
'0:06.884',0.135,0.16
'0:06.886',-0.01,0.06
'0:06.888',-0.115,-0.03
'0:06.890',-0.195,-0.1
'0:06.892',-0.215,-0.155
'0:06.894',-0.215,-0.19
'0:06.896',-0.19,-0.205
'0:06.898',-0.165,-0.2
'0:06.900',-0.16,-0.185
'0:06.902',-0.15,-0.16
'0:06.904',-0.125,-0.13
'0:06.906',-0.105,-0.105
'0:06.908',-0.11,-0.085
'0:06.910',-0.09,-0.075
'0:06.912',-0.09,-0.065
'0:06.914',-0.08,-0.065
'0:06.916',-0.08,-0.065
'0:06.918',-0.08,-0.065
'0:06.920',-0.085,-0.065
'0:06.922',-0.09,-0.06
'0:06.924',-0.105,-0.06
'0:06.926',-0.115,-0.06
'0:06.928',-0.115,-0.06
